基金代码,基金简称,基金类型,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,fetch_date
160128,南方金利定开债券A,债券型-信用债,1.025,08-31,暂停申购,暂停赎回,2027-05-17,10.0,100000000000.0,0.08,20260901
160129,南方金利定开债券C,债券型-信用债,1.023,08-31,暂停申购,暂停赎回,2027-05-17,10.0,100000000000.0,0.0,20260901
160133,南方天元新产业股票(LOF),股票型,4.3759,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160135,南方中证高铁产业指数(LOF),指数型-股票,1.0049,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.06,20260901
160137,南方中证互联网指数(LOF)A,指数型-股票,1.8468,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160140,南方道琼斯美国精选A,指数型-海外股票,1.4417,08-28,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160141,南方道琼斯美国精选C,指数型-海外股票,1.3953,08-28,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
160142,南方优势产业(LOF),混合型-灵活,1.1044,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160143,南方创业板2年定期开放混合,混合型-偏股,1.66,08-31,开放申购,开放赎回,2026-09-01,10.0,100000000000.0,0.15,20260901
160144,南方新兴消费增长股票(LOF)C,股票型,0.8281,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
160211,国泰中小盘成长混合(LOF),混合型-偏股,2.64,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160212,国泰估值优势混合(LOF)A,混合型-偏股,3.5911,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160213,国泰纳斯达克100指数,指数型-海外股票,4.47,08-28,限购100,开放赎回,,10.0,100.0,0.15,20260901
160215,国泰价值经典混合(LOF),混合型-灵活,3.581,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160216,国泰大宗商品(QDII-LOF)A,QDII-商品,0.661,08-28,限购30万,开放赎回,,10.0,300000.0,0.15,20260901
160217,国泰信用互利债券A,债券型-混合一级,1.1191,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.08,20260901
160218,国泰国证房地产行业指数A,指数型-股票,0.5749,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.1,20260901
160219,国泰国证医药卫生行业指数A,指数型-股票,0.5673,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.1,20260901
160220,国泰民益混合(LOF)A,混合型-灵活,4.5288,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
